,host_is_superhost,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,shared_bathrooms,private_bathrooms
3557,f,Pankow,52.52766,13.44942,Entire home/apt,2,1,1,45.0,92,1125,0,26,36,22,4.64,4.82,4.45,5.0,4.68,4.68,4.27,f,0.0,1.0
3558,f,Friedrichshain-Kreuzberg,52.49112,13.42087,Private room,2,1,1,50.0,2,1125,0,0,0,4,4.5,4.75,4.5,4.25,4.75,5.0,4.75,f,1.0,0.0
3559,f,Friedrichshain-Kreuzberg,52.52407,13.44803,Private room,2,1,1,22.0,3,1125,0,0,0,17,4.93,4.87,4.8,4.8,4.67,4.8,4.87,f,1.0,0.0
3560,f,Charlottenburg-Wilm.,52.50297,13.32544,Entire home/apt,2,1,2,129.0,30,180,0,0,0,8,4.5,4.63,4.5,5.0,5.0,5.0,4.5,f,0.0,1.0
3561,t,Tempelhof - Schöneberg,52.49827,13.34787,Entire home/apt,3,1,2,93.0,2,1125,15,45,75,47,4.68,4.79,4.74,4.89,4.87,4.87,4.52,f,0.0,1.0
3562,t,Tempelhof - Schöneberg,52.49827,13.34787,Entire home/apt,3,1,2,83.0,2,1125,16,46,76,56,4.71,4.82,4.59,4.89,4.89,4.89,4.64,f,0.0,1.0
3563,t,Tempelhof - Schöneberg,52.49827,13.34787,Entire home/apt,3,1,2,86.0,2,1125,15,45,75,25,4.76,4.92,4.72,4.96,5.0,4.96,4.67,f,0.0,1.0
3564,f,Friedrichshain-Kreuzberg,52.50063,13.43983,Entire home/apt,2,2,1,116.0,3,1125,0,15,15,21,4.95,4.9,4.8,4.95,5.0,5.0,4.85,f,0.0,1.0
3565,f,Friedrichshain-Kreuzberg,52.50922,13.45893,Entire home/apt,3,1,1,90.0,14,1125,0,0,0,1,4.0,4.0,5.0,4.0,4.0,4.0,5.0,f,0.0,1.0
3566,f,Charlottenburg-Wilm.,52.50161,13.30992,Private room,1,1,1,70.0,2,14,9,21,45,162,4.95,4.94,4.99,4.95,4.9,4.96,4.95,f,0.0,1.0
3567,f,Charlottenburg-Wilm.,52.51129,13.24187,Entire home/apt,2,1,1,88.0,5,1125,1,1,22,2,5.0,5.0,4.0,5.0,5.0,4.5,5.0,f,0.0,1.5
3568,f,Tempelhof - Schöneberg,52.48958,13.3554,Entire home/apt,4,1,2,55.0,1,1125,0,0,0,8,4.5,4.88,4.88,4.88,4.75,4.38,4.75,f,0.0,1.0
3569,f,Neukölln,52.48466,13.43758,Private room,1,1,1,18.0,8,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,0.0,1.0
3570,f,Friedrichshain-Kreuzberg,52.51793,13.45687,Private room,2,1,1,20.0,4,1125,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,1.0,0.0
3571,f,Mitte,52.53082,13.38996,Private room,2,1,1,20.0,14,21,0,0,0,1,4.0,5.0,3.0,4.0,4.0,5.0,5.0,f,0.0,1.0
3572,f,Pankow,52.53587,13.4209,Entire home/apt,2,1,1,50.0,7,1125,0,0,0,21,4.68,4.89,4.56,4.65,4.74,4.83,4.67,t,0.0,1.5
3573,f,Pankow,52.5764,13.42049,Entire home/apt,5,3,3,60.0,1,1125,0,0,0,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,0.0,1.5
3574,f,Mitte,52.52914,13.39446,Private room,2,1,1,50.0,1,1125,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,0.0,1.5
3576,f,Friedrichshain-Kreuzberg,52.49199,13.42219,Entire home/apt,2,1,2,60.0,7,500,0,0,0,12,4.67,4.92,4.67,4.91,4.82,5.0,4.82,f,0.0,1.0
